"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol"
4,1,1e-07,0,TRUE,40,TRUE,10,1.05168203547115,2.17412399528183,1e-05
1,1,1e-07,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
2,1,1e-07,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
3,1,1e-07,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
4,1,1e-07,4,FALSE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
4,2,1e-08,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
5,1,1e-07,0,TRUE,44,TRUE,11,0.899679542499283,1.85989188313518,1e-05
1,1,1e-07,0,TRUE,178,TRUE,12,0.769646387302891,1.5910766011778,1e-05
2,1,1e-07,0,TRUE,185,TRUE,12,0.769646387302891,1.5910766011778,1e-05
3,1,1e-07,0,TRUE,192,TRUE,12,0.769646387302891,1.5910766011778,1e-05
4,1,1e-07,0,TRUE,39,TRUE,12,0.769646387302891,1.5910766011778,1e-05
1,1,1e-07,2,TRUE,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-05
2,1,1e-07,0,TRUE,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-05
3,1,1e-07,0,TRUE,183,TRUE,13,0.658407281155739,1.3611139302077,1e-05
4,1,1e-07,0,TRUE,71,TRUE,13,0.658407281155739,1.3611139302077,1e-05
5,1,1e-07,0,TRUE,62,TRUE,13,0.658407281155739,1.3611139302077,1e-05
1,1,1e-07,0,TRUE,175,TRUE,14,0.563245868531947,1.16438839565236,1e-05
2,1,1e-07,0,TRUE,184,TRUE,14,0.563245868531947,1.16438839565236,1e-05
3,1,1e-07,0,TRUE,191,TRUE,14,0.563245868531947,1.16438839565236,1e-05
4,1,1e-07,0,TRUE,49,TRUE,14,0.563245868531947,1.16438839565236,1e-05
1,1,1e-07,0,TRUE,170,TRUE,15,0.481838396230109,0.996096142901866,1e-05
