"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
2,1,1e-08,0,TRUE,203,TRUE,18,0.301655726463164,0.623607640995718,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,194,TRUE,18,0.301655726463164,0.623607640995718,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,154,TRUE,18,0.301655726463164,0.623607640995718,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,76,TRUE,18,0.301655726463164,0.623607640995718,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,248,TRUE,19,0.258056595837054,0.533475915939497,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,199,TRUE,19,0.258056595837054,0.533475915939497,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,190,TRUE,19,0.258056595837054,0.533475915939497,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,146,TRUE,19,0.258056595837054,0.533475915939497,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,68,TRUE,19,0.258056595837054,0.533475915939497,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,312,TRUE,20,0.220758967302882,0.456371176647336,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,209,TRUE,20,0.220758967302882,0.456371176647336,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,187,TRUE,20,0.220758967302882,0.456371176647336,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,141,TRUE,20,0.220758967302882,0.456371176647336,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,343,TRUE,21,0.188852067456581,0.390410597088876,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,204,TRUE,21,0.188852067456581,0.390410597088876,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,184,TRUE,21,0.188852067456581,0.390410597088876,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,138,TRUE,21,0.188852067456581,0.390410597088876,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,394,TRUE,22,0.161556759475561,0.333983481251,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,208,TRUE,22,0.161556759475561,0.333983481251,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,177,TRUE,22,0.161556759475561,0.333983481251,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,129,TRUE,22,0.161556759475561,0.333983481251,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,347,TRUE,23,0.138206517322057,0.285711931439055,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,239,TRUE,23,0.138206517322057,0.285711931439055,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,199,TRUE,23,0.138206517322057,0.285711931439055,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,124,TRUE,23,0.138206517322057,0.285711931439055,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,365,TRUE,24,0.118231149797118,0.244417201296511,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,396,TRUE,24,0.118231149797118,0.244417201296511,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,221,TRUE,24,0.118231149797118,0.244417201296511,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,118,TRUE,24,0.118231149797118,0.244417201296511,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,336,TRUE,25,0.101142877001776,0.209090911915109,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,530,TRUE,25,0.101142877001776,0.209090911915109,1e-07,"case_relative_change"
