"inner_iter","inner_training_loss","r_norm","s_norm","residual_sum","eps_pri","eps_dual","primal_dual_gap","progress_proxy","admm_tol_target","rho","sub_stop_mode","omega_stop_mode","omega_stop_metric","outer_iter","sub_attempt","direction_norm_fro","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
2,138.234482384705,1.19611510317507,3.02126550812088,4.21738061129594,7.10633520177595e-08,7.10633520177595e-08,42515099.8698433,0.00676635799141362,1e-09,4,"residual_plus_proxy","duality_gap",0,2,2,1.21686616861198,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
3,138.146291402433,0.746940033280617,0.130957983547119,0.877898016827736,7.10633520177595e-08,7.10633520177595e-08,10510903.4695401,0.000637981064858061,1e-09,4,"residual_plus_proxy","duality_gap",0,2,2,1.21686616861198,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
4,138.119723728126,0.584176460643559,0.0572559733673484,0.641432434010907,7.10633520177595e-08,7.10633520177595e-08,8220502.4679608,0.000192315508707834,1e-09,4,"residual_plus_proxy","duality_gap",0,2,2,1.21686616861198,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
5,149.891452190703,2.30656188092595,11.8965958902097,14.2031577711357,7.10633520177595e-08,7.10633520177595e-08,167408313.180001,0.0852284391022187,1e-09,8,"residual_plus_proxy","duality_gap",0,2,2,1.21686616861198,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
1,139.302830723465,0.423547970341728,6.0026371154527,6.42618508579443,7.10633520177595e-09,7.10633520177595e-09,844688147.267888,NA,1e-10,8,"residual_plus_proxy","duality_gap",0,2,3,0.266807007680208,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
2,138.234752823185,1.19685370159328,3.08831549381259,4.28516919540587,7.10633520177595e-09,7.10633520177595e-09,434586239.759811,0.00766730937721986,1e-10,4,"residual_plus_proxy","duality_gap",0,2,3,0.266807007680208,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
3,138.1452292103,0.738596221935143,0.133520089758977,0.87211631169412,7.10633520177595e-09,7.10633520177595e-09,103934897.660127,0.000647620161045347,1e-10,4,"residual_plus_proxy","duality_gap",0,2,3,0.266807007680208,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
4,138.118762249367,0.575123904318194,0.0576126512532235,0.632736555571417,7.10633520177595e-09,7.10633520177595e-09,80931153.3987961,0.000191587947584714,1e-10,4,"residual_plus_proxy","duality_gap",0,2,3,0.266807007680208,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
5,138.05732792693,0.451191485292927,0.161761219181587,0.612952704474514,7.10633520177595e-09,7.10633520177595e-09,63491444.2510634,0.00044479346206568,1e-10,4,"residual_plus_proxy","duality_gap",0,2,3,0.266807007680208,3,3.13661147302283,6.4842623886032,1e-07,"case_norm_mode"
1,136.741301550759,0.541652985861895,2.75208285795647,3.29373584381837,7.10633520177595e-07,7.10633520177595e-07,3872717.483505,NA,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.295981072903309,4,2.68326840230086,5.54707413691853,1e-07,"case_norm_mode"
