"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
4,18,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
5,10,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
6,2,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
7,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
8,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
9,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
10,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
11,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
12,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
13,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
1,50,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
2,22,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
3,18,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
4,10,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
5,2,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
6,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
7,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
8,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
9,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
10,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
11,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
12,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
13,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
14,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
15,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
16,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
17,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
18,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
19,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
20,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
21,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
1,51,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
2,23,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
3,19,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
4,10,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
5,2,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
6,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
7,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
8,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
9,42,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
10,81,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
11,97,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
1,52,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
2,25,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
3,20,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
4,12,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
5,3,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
6,2,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
7,41,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
8,86,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
9,106,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
1,50,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
2,30,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
3,21,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
4,13,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
5,3,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
6,2,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
7,34,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
8,82,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
9,115,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
1,52,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
2,35,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
3,24,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
4,14,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
5,3,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
6,4,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
7,4,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
8,3,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
9,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
10,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
11,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
12,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
13,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
