"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
22,0.161556759475561,0.333983481251,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0031437873840332,80.7391917481502,1e-07,"case_norm_mode"
23,0.138206517322057,0.285711931439055,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00884485244750977,78.9742689844985,1e-07,"case_norm_mode"
24,0.118231149797118,0.244417201296511,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.025015115737915,77.4168961520646,1e-07,"case_norm_mode"
25,0.101142877001776,0.209090911915109,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0149030685424805,75.2588615532496,1e-07,"case_norm_mode"
26,0.0865244192055192,0.178870428159656,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00316500663757324,73.7265691586128,1e-07,"case_norm_mode"
27,0.0740188072633227,0.153017793920229,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0115058422088623,72.5806357551985,1e-07,"case_norm_mode"
28,0.0633206657610876,0.130901711910223,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0209970474243164,71.2653064700352,1e-07,"case_norm_mode"
29,0.054168756032011,0.111982127973692,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00347113609313965,70.0560402394358,1e-07,"case_norm_mode"
30,0.0463395969512803,0.0957970434650741,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00686407089233398,69.1769257316787,1e-07,"case_norm_mode"
31,0.03964200773483,0.0819512336719061,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0204980373382568,68.0612795873944,1e-07,"case_norm_mode"
32,0.0339124394823833,0.0701065967948781,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00338387489318848,66.6469025348882,1e-07,"case_norm_mode"
33,0.0290109814653977,0.059973897816312,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0112950801849365,65.931548448774,1e-07,"case_norm_mode"
34,0.0248179446371843,0.0513057056500027,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00304388999938965,64.9634170232601,1e-07,"case_norm_mode"
35,0.021230938937691,0.0438903511041895,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00335502624511719,64.2290408011376,1e-07,"case_norm_mode"
36,0.0181623730234537,0.0375467581167345,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00842189788818359,63.6903240789082,1e-07,"case_norm_mode"
37,0.0155373153684439,0.0321200220460756,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0196681022644043,63.0783637877074,1e-07,"case_norm_mode"
38,0.0132916645058849,0.0274776270439327,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0030980110168457,62.5118308900373,1e-07,"case_norm_mode"
39,0.0113705837300447,0.0235062101415248,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00651001930236816,61.816540791496,1e-07,"case_norm_mode"
40,0.00972716203487634,0.0201087930312938,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0247089862823486,61.3409111941673,1e-07,"case_norm_mode"
41,0.00832126859087539,0.0172024139468184,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.019679069519043,60.8707363690257,1e-07,"case_norm_mode"
42,0.0071185727875427,0.0147161018136279,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00491595268249512,60.4318583684442,1e-07,"case_norm_mode"
43,0.00608970591180167,0.0125891432015631,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00621199607849121,59.6142620686006,1e-07,"case_norm_mode"
44,0.00520954399133618,0.0107695997592715,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0265469551086426,59.1737507414464,1e-07,"case_norm_mode"
45,0.00445659429055048,0.00921303992796748,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0232930183410645,58.8647664694595,1e-07,"case_norm_mode"
46,0.0038124704779531,0.00788145396408534,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0063929557800293,55.7402447922634,1e-07,"case_norm_mode"
47,0.00326144364904004,0.00674232577668861,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0121750831604004,55.282341521484,1e-07,"case_norm_mode"
48,0.00279005824107379,0.00576783891476746,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0204470157623291,54.9184170736621,1e-07,"case_norm_mode"
49,0.00238680346075426,0.00493419731537282,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00631499290466309,54.6300243035433,1e-07,"case_norm_mode"
50,0.00204183220135076,0.00422104422588818,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00940203666687012,54.4219124516428,1e-07,"case_norm_mode"
51,0.0017467205855129,0.00361096511106137,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0235469341278076,54.2138986293671,1e-07,"case_norm_mode"
52,0.00149426226201944,0.00308906240624825,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00645709037780762,53.6703511927978,1e-07,"case_norm_mode"
53,0.00127829243338299,0.00264259173273804,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00306296348571777,53.4524022494877,1e-07,"case_norm_mode"
54,0.00109353731722829,0.0022606506918767,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00329494476318359,53.0633703148609,1e-07,"case_norm_mode"
55,0.000935485365430906,0.00193391263863052,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0499968528747559,52.8651260054031,1e-07,"case_norm_mode"
56,0.000800277096307539,0.00165439893358759,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0033729076385498,52.5725893657532,1e-07,"case_norm_mode"
57,0.000684610849662435,0.00141528411200309,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00302004814147949,52.4054955125371,1e-07,"case_norm_mode"
58,0.000585662163315752,0.00121072921229753,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00374603271484375,50.1951453133352,1e-07,"case_norm_mode"
59,0.000501014802363725,0.00103573919404487,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0260798931121826,49.5367091078848,1e-07,"case_norm_mode"
60,0.000428601756969282,0.00088604096373046,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.020531177520752,49.2512265921494,1e-07,"case_norm_mode"
