"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_outer_iters","pn_elapsed_sec","pn_converged","pn_stop_reason","target_loss_ref","pg_final_loss_at_stop","pg_target_reached","pg_outer_iters","pg_elapsed_sec","pg_stop_reason","pg_converged","diff_pg_minus_pn","tol_outer","tol_inner_base","tol_inner_floor","max_iter_pg_target"
48,0.00279005824107379,0.00576783891476746,28.5098403234924,11,0.277482986450195,TRUE,"PN stop modes reached: local_norm",28.5098403234924,28.5112587617715,FALSE,10000,4.9093120098114,"max_iter_no_target",FALSE,0.00141843827907095,1e-04,1e-05,1e-08,10000
49,0.00238680346075426,0.00493419731537282,28.2187925646064,21,0.469487190246582,TRUE,"PN stop modes reached: local_norm",28.2187925646064,28.220278515502,FALSE,10000,4.93650507926941,"max_iter_no_target",FALSE,0.00148595089560288,1e-04,1e-05,1e-08,10000
50,0.00204183220135076,0.00422104422588818,27.9604259999616,31,0.489082098007202,TRUE,"PN stop modes reached: local_norm",27.9604259999616,27.9619947265112,FALSE,10000,4.82168006896973,"max_iter_no_target",FALSE,0.00156872654959628,1e-04,1e-05,1e-08,10000
51,0.0017467205855129,0.00361096511106137,27.73171341829,13,0.335585117340088,TRUE,"PN stop modes reached: local_norm",27.73171341829,27.7332761234147,FALSE,10000,4.96750617027283,"max_iter_no_target",FALSE,0.00156270512475842,1e-04,1e-05,1e-08,10000
52,0.00149426226201944,0.00308906240624825,27.5298961628542,18,0.30505108833313,TRUE,"PN stop modes reached: local_norm",27.5298961628542,27.5314086194093,FALSE,10000,4.9191529750824,"max_iter_no_target",FALSE,0.00151245655508703,1e-04,1e-05,1e-08,10000
53,0.00127829243338299,0.00264259173273804,27.3522600605129,22,0.450732946395874,TRUE,"PN stop modes reached: local_norm",27.3522600605129,27.3537202656629,FALSE,10000,4.9739408493042,"max_iter_no_target",FALSE,0.00146020515000345,1e-04,1e-05,1e-08,10000
54,0.00109353731722829,0.0022606506918767,27.1962610321658,17,0.312350034713745,TRUE,"PN stop modes reached: local_norm",27.1962610321658,27.1976681398607,FALSE,10000,4.89369893074036,"max_iter_no_target",FALSE,0.00140710769495556,1e-04,1e-05,1e-08,10000
55,0.000935485365430906,0.00193391263863052,27.0595519479728,20,0.335813999176025,TRUE,"PN stop modes reached: local_norm",27.0595519479728,27.0608902538913,FALSE,10000,4.81058692932129,"max_iter_no_target",FALSE,0.00133830591853723,1e-04,1e-05,1e-08,10000
56,0.000800277096307539,0.00165439893358759,26.9400199198312,25,0.469799041748047,TRUE,"PN stop modes reached: local_norm",26.9400199198312,26.9412820265871,FALSE,10000,4.87629508972168,"max_iter_no_target",FALSE,0.00126210675589178,1e-04,1e-05,1e-08,10000
57,0.000684610849662435,0.00141528411200309,26.8357285867115,16,0.24479603767395,TRUE,"PN stop modes reached: local_norm",26.8357285867115,26.8369192445652,FALSE,10000,4.82187819480896,"max_iter_no_target",FALSE,0.00119065785371575,1e-04,1e-05,1e-08,10000
58,0.000585662163315752,0.00121072921229753,26.7449191551688,23,0.408937931060791,TRUE,"PN stop modes reached: local_norm",26.7449191551688,26.746009305952,FALSE,10000,4.77715587615967,"max_iter_no_target",FALSE,0.00109015078321661,1e-04,1e-05,1e-08,10000
59,0.000501014802363725,0.00103573919404487,26.6660015695093,19,0.397181987762451,TRUE,"PN stop modes reached: local_norm",26.6660015695093,26.6669765909124,FALSE,10000,4.95749998092651,"max_iter_no_target",FALSE,0.000975021403085918,1e-04,1e-05,1e-08,10000
60,0.000428601756969282,0.00088604096373046,26.597549730449,25,0.484944105148315,TRUE,"PN stop modes reached: local_norm",26.597549730449,26.5984084221194,FALSE,10000,4.81371402740479,"max_iter_no_target",FALSE,0.000858691670487133,1e-04,1e-05,1e-08,10000
