"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_converged","pg_final_loss","pg_converged","diff_pg_minus_pn","abs_diff","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
26,0.0865244192055192,0.178870428159656,54.8333129166382,TRUE,54.835446867668,FALSE,0.00213395102977643,0.00213395102977643,"case_norm_mode",1e-04,1e-05,1e-08,10000
27,0.0740188072633227,0.153017793920229,52.3770132224241,TRUE,52.3815319035606,FALSE,0.00451868113656673,0.00451868113656673,"case_norm_mode",1e-04,1e-05,1e-08,10000
28,0.0633206657610876,0.130901711910223,50.0636405639265,TRUE,50.0668435694227,FALSE,0.00320300549611119,0.00320300549611119,"case_norm_mode",1e-04,1e-05,1e-08,10000
29,0.054168756032011,0.111982127973692,47.8917794163667,TRUE,47.8938763489801,FALSE,0.00209693261335531,0.00209693261335531,"case_norm_mode",1e-04,1e-05,1e-08,10000
30,0.0463395969512803,0.0957970434650741,45.857420764191,TRUE,45.8594568589384,FALSE,0.0020360947474316,0.0020360947474316,"case_norm_mode",1e-04,1e-05,1e-08,10000
31,0.03964200773483,0.0819512336719061,43.9601958584585,TRUE,43.9622421329519,FALSE,0.00204627449343775,0.00204627449343775,"case_norm_mode",1e-04,1e-05,1e-08,10000
32,0.0339124394823833,0.0701065967948781,42.1978760854547,TRUE,42.1993663389977,FALSE,0.00149025354301813,0.00149025354301813,"case_norm_mode",1e-04,1e-05,1e-08,10000
33,0.0290109814653977,0.059973897816312,40.5672857709489,TRUE,40.568733177701,FALSE,0.00144740675214905,0.00144740675214905,"case_norm_mode",1e-04,1e-05,1e-08,10000
34,0.0248179446371843,0.0513057056500027,39.0657867365047,TRUE,39.0671655742707,FALSE,0.00137883776598358,0.00137883776598358,"case_norm_mode",1e-04,1e-05,1e-08,10000
35,0.021230938937691,0.0438903511041895,37.6916726752238,TRUE,37.6929791003888,FALSE,0.00130642516493396,0.00130642516493396,"case_norm_mode",1e-04,1e-05,1e-08,10000
36,0.0181623730234537,0.0375467581167345,36.4410378202031,TRUE,36.4423361049176,FALSE,0.00129828471445137,0.00129828471445137,"case_norm_mode",1e-04,1e-05,1e-08,10000
37,0.0155373153684439,0.0321200220460756,35.3088757480524,TRUE,35.3098810153908,TRUE,0.0010052673383214,0.0010052673383214,"case_norm_mode",1e-04,1e-05,1e-08,10000
38,0.0132916645058849,0.0274776270439327,34.2888648408278,TRUE,34.2900144467284,FALSE,0.00114960590063617,0.00114960590063617,"case_norm_mode",1e-04,1e-05,1e-08,10000
39,0.0113705837300447,0.0235062101415248,33.3736597538305,TRUE,33.37483544829,FALSE,0.00117569445940546,0.00117569445940546,"case_norm_mode",1e-04,1e-05,1e-08,10000
40,0.00972716203487634,0.0201087930312938,32.5553180459093,TRUE,32.5565420283713,FALSE,0.00122398246200817,0.00122398246200817,"case_norm_mode",1e-04,1e-05,1e-08,10000
41,0.00832126859087539,0.0172024139468184,31.8250971571768,TRUE,31.8263576229687,FALSE,0.00126046579189421,0.00126046579189421,"case_norm_mode",1e-04,1e-05,1e-08,10000
42,0.0071185727875427,0.0147161018136279,31.1741225920028,TRUE,31.1753217558495,FALSE,0.0011991638466462,0.0011991638466462,"case_norm_mode",1e-04,1e-05,1e-08,10000
43,0.00608970591180167,0.0125891432015631,30.5939357313799,TRUE,30.5971303882625,TRUE,0.00319465688251697,0.00319465688251697,"case_norm_mode",1e-04,1e-05,1e-08,10000
44,0.00520954399133618,0.0107695997592715,30.0769556080174,TRUE,30.0854698445736,TRUE,0.00851423655612749,0.00851423655612749,"case_norm_mode",1e-04,1e-05,1e-08,10000
45,0.00445659429055048,0.00921303992796748,29.6156574075324,TRUE,29.6296526197727,TRUE,0.0139952122403564,0.0139952122403564,"case_norm_mode",1e-04,1e-05,1e-08,10000
46,0.0038124704779531,0.00788145396408534,29.2041206466567,TRUE,29.2198941856514,TRUE,0.0157735389947113,0.0157735389947113,"case_norm_mode",1e-04,1e-05,1e-08,10000
47,0.00326144364904004,0.00674232577668861,28.8370229965828,TRUE,28.8550869789477,TRUE,0.0180639823649642,0.0180639823649642,"case_norm_mode",1e-04,1e-05,1e-08,10000
48,0.00279005824107379,0.00576783891476746,28.5098403234924,TRUE,28.529676134259,TRUE,0.0198358107665548,0.0198358107665548,"case_norm_mode",1e-04,1e-05,1e-08,10000
