"path_index","lambda_gamma","lambda_Omega","pn_elapsed_sec","pg_elapsed_sec","pg_target_reached","tol_outer","tol_inner_base","tol_inner_floor"
21,0.188852067456581,0.390410597088876,4.816330909729,4.89361500740051,FALSE,1e-04,1e-05,1e-08
22,0.161556759475561,0.333983481251,4.98615193367004,4.85433506965637,FALSE,1e-04,1e-05,1e-08
23,0.138206517322057,0.285711931439055,5.06107306480408,4.95404601097107,FALSE,1e-04,1e-05,1e-08
24,0.118231149797118,0.244417201296511,4.4240460395813,4.90030097961426,FALSE,1e-04,1e-05,1e-08
25,0.101142877001776,0.209090911915109,0.218212127685547,4.8782479763031,FALSE,1e-04,1e-05,1e-08
26,0.0865244192055192,0.178870428159656,0.948364019393921,4.95386600494385,FALSE,1e-04,1e-05,1e-08
27,0.0740188072633227,0.153017793920229,0.769308090209961,4.97752118110657,FALSE,1e-04,1e-05,1e-08
28,0.0633206657610876,0.130901711910223,0.84955096244812,4.9758951663971,FALSE,1e-04,1e-05,1e-08
29,0.054168756032011,0.111982127973692,0.794939041137695,4.9413731098175,FALSE,1e-04,1e-05,1e-08
30,0.0463395969512803,0.0957970434650741,5.48527407646179,4.8027720451355,FALSE,1e-04,1e-05,1e-08
31,0.03964200773483,0.0819512336719061,0.28206205368042,4.95714688301086,FALSE,1e-04,1e-05,1e-08
32,0.0339124394823833,0.0701065967948781,0.915106058120728,4.9368531703949,FALSE,1e-04,1e-05,1e-08
33,0.0290109814653977,0.059973897816312,0.931549072265625,4.89226007461548,FALSE,1e-04,1e-05,1e-08
34,0.0248179446371843,0.0513057056500027,1.05686116218567,4.85195302963257,FALSE,1e-04,1e-05,1e-08
35,0.021230938937691,0.0438903511041895,0.940329074859619,4.86764979362488,FALSE,1e-04,1e-05,1e-08
36,0.0181623730234537,0.0375467581167345,0.401071071624756,4.87529802322388,FALSE,1e-04,1e-05,1e-08
37,0.0155373153684439,0.0321200220460756,0.32345986366272,4.98519206047058,FALSE,1e-04,1e-05,1e-08
38,0.0132916645058849,0.0274776270439327,0.374470949172974,4.90384483337402,FALSE,1e-04,1e-05,1e-08
39,0.0113705837300447,0.0235062101415248,0.334378957748413,4.93047499656677,FALSE,1e-04,1e-05,1e-08
40,0.00972716203487634,0.0201087930312938,0.381348133087158,4.98810696601868,FALSE,1e-04,1e-05,1e-08
41,0.00832126859087539,0.0172024139468184,0.521650075912476,4.87686610221863,FALSE,1e-04,1e-05,1e-08
42,0.0071185727875427,0.0147161018136279,1.31578207015991,4.91112780570984,FALSE,1e-04,1e-05,1e-08
43,0.00608970591180167,0.0125891432015631,0.954913139343262,4.85633301734924,FALSE,1e-04,1e-05,1e-08
44,0.00520954399133618,0.0107695997592715,1.18252682685852,4.93009400367737,FALSE,1e-04,1e-05,1e-08
45,0.00445659429055048,0.00921303992796748,0.396637916564941,5.10011506080627,FALSE,1e-04,1e-05,1e-08
46,0.0038124704779531,0.00788145396408534,0.406496047973633,4.94724583625793,FALSE,1e-04,1e-05,1e-08
47,0.00326144364904004,0.00674232577668861,0.399282932281494,4.90487694740295,FALSE,1e-04,1e-05,1e-08
48,0.00279005824107379,0.00576783891476746,0.277482986450195,4.9093120098114,FALSE,1e-04,1e-05,1e-08
49,0.00238680346075426,0.00493419731537282,0.469487190246582,4.93650507926941,FALSE,1e-04,1e-05,1e-08
50,0.00204183220135076,0.00422104422588818,0.489082098007202,4.82168006896973,FALSE,1e-04,1e-05,1e-08
51,0.0017467205855129,0.00361096511106137,0.335585117340088,4.96750617027283,FALSE,1e-04,1e-05,1e-08
52,0.00149426226201944,0.00308906240624825,0.30505108833313,4.9191529750824,FALSE,1e-04,1e-05,1e-08
53,0.00127829243338299,0.00264259173273804,0.450732946395874,4.9739408493042,FALSE,1e-04,1e-05,1e-08
54,0.00109353731722829,0.0022606506918767,0.312350034713745,4.89369893074036,FALSE,1e-04,1e-05,1e-08
55,0.000935485365430906,0.00193391263863052,0.335813999176025,4.81058692932129,FALSE,1e-04,1e-05,1e-08
56,0.000800277096307539,0.00165439893358759,0.469799041748047,4.87629508972168,FALSE,1e-04,1e-05,1e-08
57,0.000684610849662435,0.00141528411200309,0.24479603767395,4.82187819480896,FALSE,1e-04,1e-05,1e-08
58,0.000585662163315752,0.00121072921229753,0.408937931060791,4.77715587615967,FALSE,1e-04,1e-05,1e-08
59,0.000501014802363725,0.00103573919404487,0.397181987762451,4.95749998092651,FALSE,1e-04,1e-05,1e-08
60,0.000428601756969282,0.00088604096373046,0.484944105148315,4.81371402740479,FALSE,1e-04,1e-05,1e-08
