"outer_iter","inner_iters","inner_converged","training_loss","elapsed_sec","path_index","lambda_gamma","lambda_Omega","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
4,12,TRUE,134.237865022404,3.14833402633667,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,6,TRUE,134.237599036256,3.15435886383057,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,134.23759755662,3.15731191635132,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,134.237597471376,3.16023397445679,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,134.237597405583,3.16467785835266,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,134.237597357416,3.16728186607361,5,2.29544825067144,4.74534027718437,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,28,TRUE,131.535512243575,0.0203051567077637,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,17,TRUE,131.396712816417,0.0328600406646729,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,14,TRUE,131.373281256756,0.0452799797058105,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,131.372354932206,0.056596040725708,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,131.37235398321,0.05973219871521,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,131.372353690767,0.0622069835662842,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,131.372353417128,0.0650680065155029,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,131.372353193469,0.0679280757904053,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,131.37235302462,0.0706110000610352,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,131.372352901599,0.0735361576080322,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,1,TRUE,131.3723528132,0.0761191844940186,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
12,1,TRUE,131.372352749877,0.0787081718444824,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,1,TRUE,131.372352704413,0.0825681686401367,6,1.96368081068312,4.05948321411427,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,28,TRUE,128.014873035271,0.020392894744873,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,18,TRUE,127.885814788253,0.0350399017333984,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
