"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol"
4,119.641518360539,-0.000403440775485819,3.34411761236901e-06,NA,NA,0.0283838770646495,0.972399531247352,0,TRUE,FALSE,NA,NA,37,TRUE,1e-07,0.0149539798229972,FALSE,0,1,"relative_change",0.122209490152967,0.366787863668933,3.0013042621308,150,100,0.04,1,0.000816326530612245,2.6965389251709,9,1.22936562574292,2.54144619357784,1e-05
0,115.594617697651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.122209490152967,0.366787863668933,3.0013042621308,150,100,0.04,1,0.000816326530612245,0,10,1.05168203547115,2.17412399528183,1e-05
1,115.294943032824,-0.299674664827791,0.00257022726044606,NA,NA,0.868819610354271,0.535097124655295,0,TRUE,FALSE,NA,NA,332,TRUE,1e-07,0.450618155204698,FALSE,0,1,NA,0.124213629442417,0.381351365099694,3.07012496786015,150,100,0.04,5,0.00408163265306122,2.66235280036926,10,1.05168203547115,2.17412399528183,1e-05
2,115.201262094552,-0.0936809382715751,0.00080554610397061,NA,NA,0.452549992365358,0.688444463361693,0,TRUE,FALSE,NA,NA,334,TRUE,1e-07,0.250489093583302,FALSE,0,1,NA,0.125647381697634,0.392389011104325,3.12293822443986,150,100,0.04,5,0.00408163265306122,5.29956293106079,10,1.05168203547115,2.17412399528183,1e-05
3,115.188800293059,-0.0124618014930178,0.00010724325423314,NA,NA,0.158677661468385,0.863052799976057,0,TRUE,FALSE,NA,NA,50,TRUE,1e-07,0.0919764294960789,FALSE,0,1,NA,0.126336490306103,0.397676577708087,3.1477570474259,150,100,0.04,5,0.00408163265306122,5.3355598449707,10,1.05168203547115,2.17412399528183,1e-05
4,115.188498926266,-0.000301366793010516,2.5937680073328e-06,NA,NA,0.0245319399905317,0.976055465883515,0,TRUE,FALSE,NA,NA,40,TRUE,1e-07,0.0145538897540292,FALSE,0,1,"relative_change",0.126465499973269,0.398649605981718,3.15223998692119,150,100,0.04,5,0.00408163265306122,5.36599493026733,10,1.05168203547115,2.17412399528183,1e-05
0,111.003433101705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.126465499973269,0.398649605981718,3.15223998692119,150,100,0.04,5,0.00408163265306122,0,11,0.899679542499283,1.85989188313518,1e-05
1,110.722976478776,-0.28045662292854,0.0025040002360809,NA,NA,0.835509932261009,0.544807730224693,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.489502432315151,FALSE,0,1,NA,0.128080764968876,0.415964697417495,3.24767499256096,150,100,0.04,6,0.00489795918367347,7.20850300788879,11,0.899679542499283,1.85989188313518,1e-05
2,110.65710945902,-0.0658670197558564,0.000589556614331422,NA,NA,0.347704614043332,0.742002356881333,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.207738920634195,FALSE,0,1,NA,0.129827573663748,0.427991907375902,3.29661793175305,150,100,0.04,6,0.00489795918367347,14.997673034668,11,0.899679542499283,1.85989188313518,1e-05
3,110.629209711011,-0.0278997480089203,0.000249869875228678,NA,NA,0.239549094936998,0.806744972090699,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-07,0.138149127178653,FALSE,0,1,NA,0.129948782836613,0.433759608132007,3.33792744082397,150,100,0.04,6,0.00489795918367347,20.5454530715942,11,0.899679542499283,1.85989188313518,1e-05
4,110.627881217367,-0.00132849364403853,1.1900950006524e-05,NA,NA,0.0515101920448183,0.951013130985778,0,TRUE,FALSE,NA,NA,2000,FALSE,1e-08,0.0311546653376744,TRUE,1,2,NA,0.130086034564703,0.435273329226272,3.346041953564,150,100,0.04,6,0.00489795918367347,32.4330520629883,11,0.899679542499283,1.85989188313518,1e-05
5,110.627877172424,-4.04494305428216e-06,3.62359565564596e-08,NA,NA,0.00284274610549065,0.997165312192235,0,TRUE,FALSE,NA,NA,44,TRUE,1e-07,0.00176026373105544,FALSE,0,1,"relative_change",0.130098499704562,0.435360960152227,3.34639493261551,150,100,0.04,6,0.00489795918367347,32.4652910232544,11,0.899679542499283,1.85989188313518,1e-05
0,106.380228799613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.130098499704562,0.435360960152227,3.34639493261551,150,100,0.04,6,0.00489795918367347,0,12,0.769646387302891,1.5910766011778,1e-05
1,106.118994140188,-0.261234659425341,0.0024328003613481,NA,NA,0.801489068550224,0.555096346382365,0,TRUE,FALSE,NA,NA,178,TRUE,1e-07,0.530504404997359,FALSE,0,1,NA,0.131743276564653,0.455420982339626,3.45688215911442,150,100,0.04,11,0.00897959183673469,2.52358889579773,12,0.769646387302891,1.5910766011778,1e-05
