"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
3,25,TRUE,27,0.0740188072633227,0.153017793920229,1e-04,"case_relative_change"
1,94,TRUE,28,0.0633206657610876,0.130901711910223,1e-04,"case_relative_change"
2,43,TRUE,28,0.0633206657610876,0.130901711910223,1e-04,"case_relative_change"
3,25,TRUE,28,0.0633206657610876,0.130901711910223,1e-04,"case_relative_change"
1,188,TRUE,29,0.054168756032011,0.111982127973692,1e-04,"case_relative_change"
2,44,TRUE,29,0.054168756032011,0.111982127973692,1e-04,"case_relative_change"
3,26,TRUE,29,0.054168756032011,0.111982127973692,1e-04,"case_relative_change"
1,169,TRUE,30,0.0463395969512803,0.0957970434650741,1e-04,"case_relative_change"
2,47,TRUE,30,0.0463395969512803,0.0957970434650741,1e-04,"case_relative_change"
3,27,TRUE,30,0.0463395969512803,0.0957970434650741,1e-04,"case_relative_change"
1,102,TRUE,31,0.03964200773483,0.0819512336719061,1e-04,"case_relative_change"
2,52,TRUE,31,0.03964200773483,0.0819512336719061,1e-04,"case_relative_change"
3,36,TRUE,31,0.03964200773483,0.0819512336719061,1e-04,"case_relative_change"
1,64,TRUE,32,0.0339124394823833,0.0701065967948781,1e-04,"case_relative_change"
2,46,TRUE,32,0.0339124394823833,0.0701065967948781,1e-04,"case_relative_change"
3,44,TRUE,32,0.0339124394823833,0.0701065967948781,1e-04,"case_relative_change"
1,69,TRUE,33,0.0290109814653977,0.059973897816312,1e-04,"case_relative_change"
2,55,TRUE,33,0.0290109814653977,0.059973897816312,1e-04,"case_relative_change"
3,49,TRUE,33,0.0290109814653977,0.059973897816312,1e-04,"case_relative_change"
1,74,TRUE,34,0.0248179446371843,0.0513057056500027,1e-04,"case_relative_change"
2,51,TRUE,34,0.0248179446371843,0.0513057056500027,1e-04,"case_relative_change"
1,79,TRUE,35,0.021230938937691,0.0438903511041895,1e-04,"case_relative_change"
2,46,TRUE,35,0.021230938937691,0.0438903511041895,1e-04,"case_relative_change"
1,85,TRUE,36,0.0181623730234537,0.0375467581167345,1e-04,"case_relative_change"
2,42,TRUE,36,0.0181623730234537,0.0375467581167345,1e-04,"case_relative_change"
1,92,TRUE,37,0.0155373153684439,0.0321200220460756,1e-04,"case_relative_change"
2,40,TRUE,37,0.0155373153684439,0.0321200220460756,1e-04,"case_relative_change"
1,99,TRUE,38,0.0132916645058849,0.0274776270439327,1e-04,"case_relative_change"
2,39,TRUE,38,0.0132916645058849,0.0274776270439327,1e-04,"case_relative_change"
1,103,TRUE,39,0.0113705837300447,0.0235062101415248,1e-04,"case_relative_change"
2,38,TRUE,39,0.0113705837300447,0.0235062101415248,1e-04,"case_relative_change"
1,107,TRUE,40,0.00972716203487634,0.0201087930312938,1e-04,"case_relative_change"
2,37,TRUE,40,0.00972716203487634,0.0201087930312938,1e-04,"case_relative_change"
1,111,TRUE,41,0.00832126859087539,0.0172024139468184,1e-04,"case_relative_change"
2,37,TRUE,41,0.00832126859087539,0.0172024139468184,1e-04,"case_relative_change"
1,112,TRUE,42,0.0071185727875427,0.0147161018136279,1e-04,"case_relative_change"
2,93,TRUE,42,0.0071185727875427,0.0147161018136279,1e-04,"case_relative_change"
1,113,TRUE,43,0.00608970591180167,0.0125891432015631,1e-04,"case_relative_change"
2,74,TRUE,43,0.00608970591180167,0.0125891432015631,1e-04,"case_relative_change"
1,88,TRUE,44,0.00520954399133618,0.0107695997592715,1e-04,"case_relative_change"
2,122,TRUE,44,0.00520954399133618,0.0107695997592715,1e-04,"case_relative_change"
