"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
12,1,1e-05,0,TRUE,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
13,1,1e-05,0,TRUE,1,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,50,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,22,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,18,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,10,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
5,1,1e-05,0,TRUE,2,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
6,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
7,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
8,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
9,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
10,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
11,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
12,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
13,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
14,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
15,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
16,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
17,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
18,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
19,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
20,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
21,1,1e-05,0,TRUE,1,TRUE,14,0.563245868531947,1.16438839565236,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,51,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,23,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,19,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,10,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
5,1,1e-05,0,TRUE,2,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
6,1,1e-05,2,TRUE,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
7,1,1e-05,0,TRUE,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
8,1,1e-05,0,TRUE,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
9,1,1e-05,4,FALSE,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
9,2,1e-06,0,TRUE,41,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
10,1,1e-05,4,FALSE,2,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
10,2,1e-06,4,FALSE,13,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
10,3,1e-07,0,TRUE,66,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
11,1,1e-05,4,FALSE,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
11,2,1e-06,4,FALSE,1,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
11,3,1e-07,4,FALSE,19,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
11,4,1e-08,0,TRUE,76,TRUE,15,0.481838396230109,0.996096142901866,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,52,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,25,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,20,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,12,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
5,1,1e-05,1,TRUE,3,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
6,1,1e-05,0,TRUE,2,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
7,1,1e-05,4,FALSE,1,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
7,2,1e-06,0,TRUE,40,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
8,1,1e-05,4,FALSE,2,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
8,2,1e-06,4,FALSE,15,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
8,3,1e-07,0,TRUE,69,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
9,1,1e-05,4,FALSE,1,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
9,2,1e-06,4,FALSE,1,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
9,3,1e-07,4,FALSE,24,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
9,4,1e-08,0,TRUE,80,TRUE,16,0.412196969481073,0.85212763164655,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,50,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,30,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,21,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,13,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
5,1,1e-05,1,TRUE,3,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
6,1,1e-05,0,TRUE,2,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
7,1,1e-05,4,FALSE,1,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
7,2,1e-06,0,TRUE,33,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
8,1,1e-05,4,FALSE,1,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
8,2,1e-06,4,FALSE,12,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
8,3,1e-07,0,TRUE,69,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
9,1,1e-05,4,FALSE,1,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
9,2,1e-06,4,FALSE,1,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
9,3,1e-07,4,FALSE,26,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
9,4,1e-08,0,TRUE,87,TRUE,17,0.352621009406314,0.728967284724337,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,52,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,35,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,24,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,14,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
5,1,1e-05,0,TRUE,3,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
6,1,1e-05,1,TRUE,4,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
7,1,1e-05,1,TRUE,4,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
8,1,1e-05,1,TRUE,3,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
9,1,1e-05,0,TRUE,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
10,1,1e-05,1,TRUE,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
11,1,1e-05,0,TRUE,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
12,1,1e-05,0,TRUE,1,TRUE,18,0.301655726463164,0.623607640995718,1e-04,"case_norm_mode"
