"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol"
10,1.05168203547115,2.17412399528183,"Prox-Gradient",7,NA,TRUE,"objective stabilized",0.0351660251617432,115.287765828541,1e-05
11,0.899679542499283,1.85989188313518,"Prox-Gradient",23,NA,TRUE,"objective stabilized",0.0861499309539795,110.681598918204,1e-05
12,0.769646387302891,1.5910766011778,"Prox-Gradient",55,NA,TRUE,"objective stabilized",0.118298053741455,106.05702883553,1e-05
13,0.658407281155739,1.3611139302077,"Prox-Gradient",17,NA,TRUE,"objective stabilized",0.0683708190917969,101.555514859565,1e-05
14,0.563245868531947,1.16438839565236,"Prox-Gradient",31,NA,TRUE,"objective stabilized",0.0587289333343506,97.1066601449452,1e-05
15,0.481838396230109,0.996096142901866,"Prox-Gradient",21,NA,TRUE,"objective stabilized",0.069882869720459,92.7949555332865,1e-05
16,0.412196969481073,0.85212763164655,"Prox-Gradient",37,NA,TRUE,"objective stabilized",0.0728700160980225,88.5526022958099,1e-05
17,0.352621009406314,0.728967284724337,"Prox-Gradient",77,NA,TRUE,"objective stabilized",0.0862739086151123,84.356031337057,1e-05
18,0.301655726463164,0.623607640995718,"Prox-Gradient",52,NA,TRUE,"objective stabilized",0.0708789825439453,80.4708553695514,1e-05
19,0.258056595837054,0.533475915939497,"Prox-Gradient",16,NA,TRUE,"objective stabilized",0.0754678249359131,76.9503510063767,1e-05
20,0.220758967302882,0.456371176647336,"Prox-Gradient",31,NA,TRUE,"objective stabilized",0.0186679363250732,73.5219292264719,1e-05
21,0.188852067456581,0.390410597088876,"Prox-Gradient",33,NA,TRUE,"objective stabilized",0.0192201137542725,70.3718703026901,1e-05
22,0.161556759475561,0.333983481251,"Prox-Gradient",13,NA,TRUE,"objective stabilized",0.0099940299987793,67.6410050831428,1e-05
23,0.138206517322057,0.285711931439055,"Prox-Gradient",9,NA,TRUE,"objective stabilized",0.00622010231018066,65.1064246768331,1e-05
24,0.118231149797118,0.244417201296511,"Prox-Gradient",15,NA,TRUE,"objective stabilized",0.0105209350585938,62.7501943611764,1e-05
25,0.101142877001776,0.209090911915109,"Prox-Gradient",27,NA,TRUE,"objective stabilized",0.0166997909545898,60.2195997572247,1e-05
26,0.0865244192055192,0.178870428159656,"Prox-Gradient",33,NA,TRUE,"objective stabilized",0.0191860198974609,57.8018058242251,1e-05
27,0.0740188072633227,0.153017793920229,"Prox-Gradient",37,NA,TRUE,"objective stabilized",0.0209610462188721,55.5957339932906,1e-05
28,0.0633206657610876,0.130901711910223,"Prox-Gradient",13,NA,TRUE,"objective stabilized",0.00979495048522949,53.902068613056,1e-05
29,0.054168756032011,0.111982127973692,"Prox-Gradient",88,NA,TRUE,"objective stabilized",0.0458710193634033,51.0159066443548,1e-05
30,0.0463395969512803,0.0957970434650741,"Prox-Gradient",17,NA,TRUE,"objective stabilized",0.0112769603729248,49.521992054994,1e-05
