"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol"
1,303,TRUE,22,0.161556759475561,0.333983481251,1e-05
2,153,TRUE,22,0.161556759475561,0.333983481251,1e-05
3,120,TRUE,22,0.161556759475561,0.333983481251,1e-05
4,67,TRUE,22,0.161556759475561,0.333983481251,1e-05
1,281,TRUE,23,0.138206517322057,0.285711931439055,1e-05
2,174,TRUE,23,0.138206517322057,0.285711931439055,1e-05
3,133,TRUE,23,0.138206517322057,0.285711931439055,1e-05
4,63,TRUE,23,0.138206517322057,0.285711931439055,1e-05
1,263,TRUE,24,0.118231149797118,0.244417201296511,1e-05
2,329,TRUE,24,0.118231149797118,0.244417201296511,1e-05
3,143,TRUE,24,0.118231149797118,0.244417201296511,1e-05
4,61,TRUE,24,0.118231149797118,0.244417201296511,1e-05
1,240,TRUE,25,0.101142877001776,0.209090911915109,1e-05
2,201,TRUE,25,0.101142877001776,0.209090911915109,1e-05
3,165,TRUE,25,0.101142877001776,0.209090911915109,1e-05
4,101,TRUE,25,0.101142877001776,0.209090911915109,1e-05
1,229,TRUE,26,0.0865244192055192,0.178870428159656,1e-05
2,186,TRUE,26,0.0865244192055192,0.178870428159656,1e-05
3,151,TRUE,26,0.0865244192055192,0.178870428159656,1e-05
1,212,TRUE,27,0.0740188072633227,0.153017793920229,1e-05
2,182,TRUE,27,0.0740188072633227,0.153017793920229,1e-05
3,143,TRUE,27,0.0740188072633227,0.153017793920229,1e-05
1,209,TRUE,28,0.0633206657610876,0.130901711910223,1e-05
2,143,TRUE,28,0.0633206657610876,0.130901711910223,1e-05
3,112,TRUE,28,0.0633206657610876,0.130901711910223,1e-05
1,326,TRUE,29,0.054168756032011,0.111982127973692,1e-05
2,156,TRUE,29,0.054168756032011,0.111982127973692,1e-05
3,103,TRUE,29,0.054168756032011,0.111982127973692,1e-05
1,255,TRUE,30,0.0463395969512803,0.0957970434650741,1e-05
2,170,TRUE,30,0.0463395969512803,0.0957970434650741,1e-05
3,114,TRUE,30,0.0463395969512803,0.0957970434650741,1e-05
1,285,TRUE,31,0.03964200773483,0.0819512336719061,1e-05
2,318,TRUE,31,0.03964200773483,0.0819512336719061,1e-05
3,119,TRUE,31,0.03964200773483,0.0819512336719061,1e-05
1,333,TRUE,32,0.0339124394823833,0.0701065967948781,1e-05
2,332,TRUE,32,0.0339124394823833,0.0701065967948781,1e-05
3,403,TRUE,32,0.0339124394823833,0.0701065967948781,1e-05
