"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
21,0.188852067456581,0.390410597088876,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0803141593933105,69.7364702935087,1e-04,"case_relative_change"
22,0.161556759475561,0.333983481251,"Prox-Gradient",101,NA,TRUE,"PG stop modes reached: relative_change",0.0507490634918213,66.5764973421184,1e-04,"case_relative_change"
23,0.138206517322057,0.285711931439055,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0520210266113281,63.5894686617093,1e-04,"case_relative_change"
24,0.118231149797118,0.244417201296511,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0515809059143066,60.8295026598422,1e-04,"case_relative_change"
25,0.101142877001776,0.209090911915109,"Prox-Gradient",106,NA,TRUE,"PG stop modes reached: relative_change",0.0917489528656006,58.2007420895232,1e-04,"case_relative_change"
26,0.0865244192055192,0.178870428159656,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0517950057983398,55.7797558739198,1e-04,"case_relative_change"
27,0.0740188072633227,0.153017793920229,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0885839462280273,53.4949844424737,1e-04,"case_relative_change"
28,0.0633206657610876,0.130901711910223,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0516488552093506,51.4172180533154,1e-04,"case_relative_change"
29,0.054168756032011,0.111982127973692,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0874960422515869,49.4425913984215,1e-04,"case_relative_change"
30,0.0463395969512803,0.0957970434650741,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0523960590362549,47.6125342637888,1e-04,"case_relative_change"
31,0.03964200773483,0.0819512336719061,"Prox-Gradient",102,NA,TRUE,"PG stop modes reached: relative_change",0.088716983795166,45.8161579070268,1e-04,"case_relative_change"
32,0.0339124394823833,0.0701065967948781,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0528280735015869,44.2610395249862,1e-04,"case_relative_change"
